ScatID,curated_species,common_name,order,family,genus,species,new_host,site,type
D.06.14.23.F2,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.08.23.23.B1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.23.23.B1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.08.23.23.B1,Reithrodontomys megalotis,western harvest mouse,Rodentia,Cricetidae,Reithrodontomys,megalotis,Coyote,Dangermond,host and prey
D.08.23.23.B2,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Bobcat,Dangermond,only host ID
D.08.23.23.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.24.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H3,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H4,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H5,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H6,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.26.22.H7,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.11.30.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.11.30.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.11.30.22.H3,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,host and prey
D.11.30.22.H3,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Wild boar,Dangermond,host and prey
D.11.30.22.H4,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Wild boar,Dangermond,host and prey
D.11.30.22.H4,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,host and prey
D.11.30.22.H5,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.11.30.22.H6,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.25.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.10.25.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.07.13.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.07.13.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.07.13.23.H3,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.07.13.22.H4,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H3,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H4,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H5,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Coyote,Dangermond,only host ID
D.09.09.22.H5,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,only host ID
D.09.09.22.H6,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H7,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.09.09.22.H8,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.07.14.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,host and prey
D.07.14.22.H1,Forficula sp,earwig,Dermaptera,Forficulidae,Forficula,NA,Wild boar,Dangermond,host and prey
D.07.14.22.H3,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.07.10.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,host and prey
D.07.10.22.H1,Forficula sp,earwig,Dermaptera,Forficulidae,Forficula,NA,Wild boar,Dangermond,host and prey
D.04.13.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.04.13.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.06.14.23.P1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.P1,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.14.23.P1,Urile pelagicus,pelagic cormorant,Suliformes,Phalacrocoracidae,Urile,pelagicus,Coyote,Dangermond,host and prey
D.06.14.23.P1,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.04.14.22.H1,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,NA,NA,NA
D.04.14.22.H2,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,NA,NA,NA
D.03.15.22.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.03.15.22.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
C.06.16.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.06.16.23.C2,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Coyote,Coal Oil Point,host and prey
D.06.19.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C1,Stenopelmatus sp,cricket,Orthoptera,Stenopelmatidae,Stenopelmatus,NA,Coyote,Dangermond,host and prey
D.06.19.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.19.23.C2,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.19.23.C2,Urile pelagicus,pelagic cormorant,Suliformes,Phalacrocoracidae,Urile,pelagicus,Coyote,Dangermond,host and prey
D.06.19.23.C2,Reithrodontomys megalotis,western harvest mouse,Rodentia,Cricetidae,Reithrodontomys,megalotis,Coyote,Dangermond,host and prey
D.06.19.23.C3,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C3,Sylvilagus bachmani,brush rabbit,Lagomorpha,Leporidae,Sylvilagus,bachmani,Coyote,Dangermond,host and prey
D.06.19.23.C5,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C5,Zalophus californianus,california sea lion,Carnivora,Otariidae,Zalophus,californianus,Coyote,Dangermond,host and prey
D.06.19.23.C6,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C6,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.19.23.C6,Stenopelmatus sp,cricket,Orthoptera,Stenopelmatidae,Stenopelmatus,NA,Coyote,Dangermond,host and prey
D.06.19.23.C7,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C7,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Coyote,Dangermond,host and prey
D.06.19.23.C7,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.19.23.C7,Dipodomys heermanni,heerman's kangaroo rat,Rodentia,Heteromyidae,Dipodomys,heermanni,Coyote,Dangermond,host and prey
D.06.19.23.C7,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.19.23.C8,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.C8,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.19.23.C8,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.19.23.F1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.19.23.F1,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.06.19.23.F1,Neotoma sp,woodrat,Rodentia,Cricetidae,Neotoma,NA,Coyote,Dangermond,host and prey
D.06.19.23.F1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.25.23.B1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.25.23.B1,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.25.23.B1,Urile pelagicus,pelagic cormorant,Suliformes,Phalacrocoracidae,Urile,pelagicus,Coyote,Dangermond,host and prey
D.06.25.23.B2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.25.23.B2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.25.23.B2,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.25.23.B3,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
